case_name,mode,provider,model,runtime_seconds,llm_calls,initial_issue_count,final_issue_count,resolved_issue_count,average_f1,initial_class_precision,initial_class_recall,initial_class_f1,initial_attribute_precision,initial_attribute_recall,initial_attribute_f1,initial_relationship_strict_f1,initial_relationship_relaxed_f1,final_class_precision,final_class_recall,final_class_f1,final_attribute_precision,final_attribute_recall,final_attribute_f1,final_relationship_strict_precision,final_relationship_strict_recall,final_relationship_strict_f1,final_relationship_relaxed_precision,final_relationship_relaxed_recall,final_relationship_relaxed_f1
files,single,gemini,gemini-2.5-flash,38.190069167,2,2,2,0,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
theater,single,gemini,gemini-2.5-flash,46.551739083,2,4,4,0,0.6727941176470589,1.0,0.8888888888888888,0.9411764705882353,0.5,0.5,0.5,0.625,0.625,1.0,0.8888888888888888,0.9411764705882353,0.5,0.5,0.5,0.625,0.625,0.625,0.625,0.625,0.625
uni,single,gemini,gemini-2.5-flash,23.665391999999997,2,6,6,0,0.7083333333333333,0.75,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
